name,process_count,env_count,mode,allocated,duration
cluster,10000,1,spawn,1073741824,11.337073576
cluster,10000,1,spawn,1073741824,11.34136532
cluster,10000,1,spawn,1073741824,11.530593085
cluster,10000,1,spawn,2147483648,19.777290077
cluster,10000,1,spawn,2147483648,20.784778978
cluster,10000,1,spawn,2147483648,20.722535033
cluster,10000,1,spawn,3221225472,23.612201987
cluster,10000,1,spawn,3221225472,22.682412375
cluster,10000,1,spawn,3221225472,26.40723398
cluster,10000,1,spawn,4294967296,33.012478508
cluster,10000,1,spawn,4294967296,34.589641602
cluster,10000,1,spawn,4294967296,34.912984538
cluster,10000,1,spawn,5368709120,41.981840419
cluster,10000,1,spawn,5368709120,41.804230873
cluster,10000,1,spawn,5368709120,40.188783085
