name,process_count,env_count,mode,duration
cluster,1000,1,spawn,0.412444338
cluster,1000,1,spawn,0.423036034
cluster,1000,1,spawn,0.409974076
cluster,1000,1,spawn,0.417928869
cluster,1000,1,spawn,0.409893885
cluster,1000,1,spawn,0.421906918
cluster,1000,1,spawn,0.41619009
cluster,1000,1,spawn,0.421500125
cluster,1000,1,spawn,0.424965962
cluster,1000,1,spawn,0.416241627
cluster,5000,1,spawn,2.584354586
cluster,5000,1,spawn,2.596604342
cluster,5000,1,spawn,2.763434259
cluster,5000,1,spawn,2.784539773
cluster,5000,1,spawn,2.787793837
cluster,5000,1,spawn,2.743195134
cluster,5000,1,spawn,2.743696704
cluster,5000,1,spawn,2.737348088
cluster,5000,1,spawn,2.81795414
cluster,5000,1,spawn,2.788431282
cluster,10000,1,spawn,6.90389169
cluster,10000,1,spawn,6.694084965
cluster,10000,1,spawn,6.849459051
cluster,10000,1,spawn,6.412000519
cluster,10000,1,spawn,6.452337954
cluster,10000,1,spawn,6.883404198
cluster,10000,1,spawn,6.718145957
cluster,10000,1,spawn,6.983254489
cluster,10000,1,spawn,6.746299464
cluster,10000,1,spawn,6.91783114
cluster,25000,1,spawn,22.401717268
cluster,25000,1,spawn,20.367123721
cluster,25000,1,spawn,19.072963726
cluster,25000,1,spawn,20.818086815
cluster,25000,1,spawn,18.1210865
cluster,25000,1,spawn,18.485136005
cluster,25000,1,spawn,20.131624576
cluster,25000,1,spawn,20.006749773
cluster,25000,1,spawn,19.420427985
cluster,25000,1,spawn,20.694814747
