name,process_count,env_count,mode,allocated,duration
local-py,1000,1,spawn,0,0.14039134979248047
local-py,1000,1,spawn,0,0.1396484375
local-py,1000,1,spawn,0,0.1364457607269287
local-py,5000,1,spawn,0,0.6958909034729004
local-py,5000,1,spawn,0,0.7235822677612305
local-py,5000,1,spawn,0,0.695432186126709
local-py,10000,1,spawn,0,1.3898406028747559
local-py,10000,1,spawn,0,1.3864142894744873
local-py,10000,1,spawn,0,1.3887789249420166
local-py,25000,1,spawn,0,3.6580398082733154
local-py,25000,1,spawn,0,3.673827648162842
local-py,25000,1,spawn,0,4.568880558013916
